ctry_code,hs_code,ymd,export_val,import_val,weight
156,8496,2021-02-08,113804828,139907765,2014.5
156,8430,2022-05-20,108861044,69474883,1522.0
156,8447,2024-02-25,101140862,115007178,1481.6
156,8476,2021-01-19,172128202,32742262,1842.9
156,8466,2023-03-12,152744273,88154703,835.4
156,8466,2023-12-21,186949623,31773626,2218.3
156,8442,2022-04-16,18805151,63279628,2567.2
392,8548,2021-08-16,175078446,20206485,2174.0
392,8559,2025-12-27,180670736,104816467,335.1
392,8578,2021-10-24,160647586,58380812,1282.8
392,8578,2024-07-16,90805750,18430473,1387.1
392,8523,2021-01-25,39142592,71707108,1116.4
392,8567,2025-04-19,159575452,51804017,2426.1
392,8571,2021-07-08,81300478,50661679,1501.2
392,8526,2023-11-06,158997061,73485932,1035.4
392,8777,2022-10-24,189906953,46459853,548.1
392,8789,2023-10-16,110790762,54127279,1369.5
392,8759,2023-04-16,52387135,37276589,1400.4
392,8729,2021-02-09,142149929,4151323,1285.9
392,8779,2021-07-01,189116101,137644440,1771.1
392,8735,2021-10-22,37529258,123316962,1315.2
392,8768,2025-10-17,104322187,35921143,414.5
392,8733,2025-06-27,75875606,138569617,1657.2
392,7227,2025-10-09,132121459,148379672,831.9
392,7295,2023-05-03,77294184,125737132,2602.6
392,7296,2023-12-15,57650273,57019712,2281.1
392,7235,2024-02-20,21364103,62164308,2802.9
392,7232,2023-10-19,93808544,54888246,369.8
392,7238,2023-05-18,34455501,77326824,1487.8
392,7218,2023-11-12,108503236,8498117,235.6
392,7237,2023-07-25,148927226,108776215,451.4
392,8495,2025-12-20,60933941,38097557,1148.3
392,8413,2024-08-09,41739171,85411206,1966.2
392,8427,2021-08-19,56588557,56039283,520.6
392,8415,2023-12-04,114764096,50417018,2183.0
392,8438,2021-07-14,5374381,120601913,2374.7
392,8497,2023-02-24,139788891,96778182,2359.1
392,8456,2023-06-22,29107495,138173592,326.2
392,8437,2024-07-23,178907432,78735058,824.9
704,8551,2024-11-18,63795141,118552823,2061.3
704,8562,2024-11-04,154795176,120672406,502.6
704,8572,2022-09-05,159892247,106377020,611.6
704,8571,2024-05-18,191224731,11490398,1097.0
704,8534,2024-05-03,100731383,58182096,2917.6
704,8592,2024-11-08,173497475,134201985,2763.4
704,8543,2022-03-26,100557813,62858195,549.1
704,8554,2022-09-20,19193827,83968965,2681.0
704,8788,2023-08-10,80665643,82931661,1877.8
704,8794,2023-01-16,24975882,127879038,512.0
704,8791,2023-02-12,196302863,15509132,944.0
704,8711,2021-02-01,167272504,144280301,2336.5
704,8769,2021-06-12,108699549,120775123,1551.2
704,8710,2023-04-01,89443750,22100969,352.4
704,8717,2021-10-02,61286088,111944949,2895.1
704,8788,2025-06-20,139969256,44775376,2032.6
704,7255,2022-06-11,140936757,4233314,1912.0
704,7255,2025-11-08,73210297,90562583,2553.4
704,7242,2024-06-16,63974460,51985774,623.7
704,7286,2025-10-21,17789808,103065906,2137.9
704,7222,2021-04-25,85833245,66907983,2022.6
704,7276,2023-12-10,11489248,6597368,2165.7
704,7245,2025-10-14,149205395,26067250,610.3
704,7213,2025-12-24,21938691,101130944,1924.5
704,8496,2024-04-16,173772412,62705595,2108.7
704,8467,2025-11-07,104122940,6591769,1729.2
704,8471,2022-08-09,92182756,141807547,2037.1
704,8445,2021-08-12,48808758,71000843,1393.6
704,8437,2024-11-15,33689819,76054195,2499.1
704,8421,2025-09-23,187169081,136918928,667.6
704,8486,2025-05-16,11685718,16830610,562.3
704,8452,2021-03-03,178519713,110198740,1549.6
276,8571,2025-07-05,166805140,64591765,1963.8
276,8561,2023-01-14,28960953,66999700,1706.2
276,8536,2024-10-17,110207191,119646566,1770.0
276,8525,2021-03-24,66485682,47873557,1560.7
276,8540,2024-12-12,38714289,19716726,967.5
276,8557,2024-09-07,152624940,76262217,2965.7
276,8552,2024-03-02,53192590,65974501,512.9
276,8591,2021-10-20,144568382,141250560,2650.8
276,8785,2025-12-06,112866806,83352879,388.5
276,8768,2025-06-14,143016762,38607855,1987.6
276,8787,2025-02-02,193794123,73147757,237.6
276,8763,2024-02-18,199373007,65121132,994.9
276,8755,2021-03-27,9175390,52745982,832.4
276,8739,2021-11-10,97863458,105646421,2563.3
276,8768,2023-01-04,145534396,33732637,1374.8
276,8779,2023-09-15,185007063,78052651,395.3
276,7263,2024-05-08,118906202,72891466,1886.6
276,7292,2022-04-16,167509207,25387673,867.0
276,7219,2021-01-04,89296587,133805776,1263.4
276,7216,2022-01-07,16932617,71693523,79.4
276,7221,2023-04-04,112363754,42622433,1079.2
276,7248,2021-12-02,160017347,76763376,737.1
276,7222,2022-07-15,107879607,110845664,1900.6
276,7238,2022-07-13,181642409,109735806,2219.6
276,8480,2025-05-02,47288168,18210374,1012.0
276,8435,2021-07-19,134193767,133352557,1406.8
276,8428,2024-10-06,161188399,145131888,842.4
276,8480,2021-09-01,112268194,75914732,476.1
276,8420,2021-01-13,97259052,44895896,813.2
276,8487,2023-01-23,1318636,43199643,2650.2
276,8426,2025-09-02,115810288,24071367,1100.8
276,8430,2025-06-05,68888715,112379432,1671.8
