export_value,weight,logistics_cost_rate,tax_rate,region_code
147442.16,1311.1,0.179,0.111,1
199510.43,4576.9,0.188,0.077,2
155651.48,609.6,0.175,0.062,1
145729.23,3799.3,0.145,0.145,2
251295.33,3799.9,0.051,0.102,1
227986.48,4058.4,0.069,0.142,1
147603.66,4438.7,0.058,0.054,1
37932.6,1352.0,0.129,0.048,0
39043.87,1161.6,0.111,0.133,2
241454.14,2354.3,0.176,0.112,0
161170.23,1362.2,0.191,0.052,1
147068.8,3684.8,0.093,0.062,3
205767.22,3197.9,0.111,0.126,0
258358.27,4381.2,0.195,0.084,2
190517.58,459.6,0.07,0.11,1
230040.13,4579.7,0.163,0.068,0
230754.8,1502.1,0.061,0.076,3
110097.13,2478.9,0.143,0.149,0
85854.54,2221.1,0.066,0.06,2
241343.4,3813.5,0.179,0.091,0
116267.74,2130.6,0.121,0.131,3
271484.12,4720.6,0.053,0.059,3
25558.76,4517.5,0.06,0.08,2
22174.17,4367.2,0.109,0.104,3
278466.23,402.7,0.193,0.088,1
196294.2,4278.6,0.159,0.085,3
116981.81,3919.1,0.108,0.074,1
227742.82,562.4,0.081,0.1,0
203336.41,581.7,0.119,0.105,1
161704.31,550.8,0.155,0.108,1
34167.64,106.1,0.161,0.038,0
244592.98,2765.7,0.078,0.106,3
260476.84,4868.3,0.15,0.144,1
55789.76,2221.5,0.138,0.095,3
255900.94,2726.7,0.193,0.116,0
263964.96,4841.5,0.188,0.097,2
167081.44,1313.2,0.162,0.133,3
198572.82,4299.4,0.15,0.142,3
117760.01,2754.6,0.069,0.052,2
88128.54,2868.9,0.172,0.082,2
217985.03,1748.7,0.097,0.077,0
259253.17,2829.8,0.069,0.079,3
197952.88,412.1,0.089,0.045,3
155919.23,3835.0,0.17,0.128,0
51882.81,1459.2,0.047,0.034,3
20770.32,4443.7,0.102,0.093,1
136479.08,1870.9,0.109,0.109,1
19558.12,757.0,0.027,0.055,1
172953.72,3494.6,0.055,0.139,3
117905.11,864.7,0.169,0.131,1
228370.79,3780.7,0.17,0.087,1
95166.31,4842.2,0.073,0.079,0
179929.9,3908.8,0.177,0.058,0
163616.64,161.1,0.159,0.118,2
6390.17,3019.4,0.095,0.046,2
26354.87,3492.3,0.155,0.112,2
90658.62,4136.0,0.193,0.131,2
265259.35,327.2,0.103,0.057,0
48369.41,2426.5,0.063,0.134,0
214713.83,2700.1,0.19,0.034,0
292143.14,887.2,0.129,0.14,1
238217.43,1646.1,0.039,0.044,1
76668.88,2229.1,0.123,0.107,2
272967.75,4174.4,0.11,0.06,1
32466.61,4650.6,0.174,0.13,3
143101.87,3160.7,0.116,0.091,0
266824.86,2005.0,0.066,0.046,2
194173.38,1307.5,0.142,0.099,2
127025.15,4911.6,0.118,0.079,3
91379.8,4915.9,0.062,0.109,1
115654.32,4628.6,0.123,0.136,2
155137.83,3939.1,0.168,0.079,1
99117.96,1662.6,0.025,0.065,1
290845.52,4094.2,0.134,0.032,3
280257.91,2073.5,0.083,0.099,2
261848.08,1667.5,0.073,0.078,1
129439.8,3737.1,0.091,0.075,1
208934.02,444.3,0.082,0.052,3
271334.65,290.4,0.17,0.082,3
255876.7,2267.4,0.069,0.148,1
127226.47,2255.9,0.152,0.066,3
38153.88,4483.4,0.037,0.102,1
27310.96,674.5,0.191,0.123,2
175233.89,660.3,0.132,0.12,0
194575.24,779.9,0.147,0.069,3
255703.57,197.2,0.074,0.103,0
91291.93,405.1,0.094,0.135,1
54403.79,3316.4,0.06,0.032,1
116806.72,2186.3,0.188,0.082,1
109304.66,3829.8,0.108,0.057,0
44078.34,4963.4,0.133,0.077,1
203323.38,3312.2,0.152,0.08,3
155064.12,299.8,0.087,0.12,2
217731.21,567.6,0.15,0.041,2
109043.88,4411.0,0.142,0.092,3
101082.15,2661.1,0.147,0.098,2
144409.88,4132.9,0.108,0.089,0
263835.17,4290.2,0.089,0.118,1
16882.99,4642.0,0.06,0.076,1
242425.68,4751.7,0.168,0.143,1
113851.35,2796.4,0.13,0.088,0
257112.61,1738.0,0.1,0.099,0
241649.89,4811.2,0.19,0.129,0
107884.57,2759.7,0.029,0.063,3
209693.58,368.1,0.173,0.039,0
52091.66,3231.7,0.2,0.115,2
269403.06,2959.0,0.18,0.088,3
124324.86,4484.2,0.166,0.138,3
139409.56,3283.3,0.087,0.148,3
213198.92,1777.8,0.062,0.078,0
247147.87,4832.8,0.152,0.08,3
74721.11,4018.0,0.075,0.079,0
200098.29,3170.6,0.052,0.069,0
120639.42,1500.0,0.162,0.124,3
113767.36,1899.0,0.076,0.121,1
208557.62,3366.4,0.185,0.087,1
119219.07,406.3,0.171,0.035,3
107102.01,1320.6,0.173,0.067,1
251587.08,3583.8,0.159,0.065,2
34876.46,2426.1,0.179,0.127,2
204388.32,2041.8,0.165,0.041,0
78373.99,799.7,0.128,0.127,1
9571.98,2237.2,0.073,0.11,2
54195.46,3864.9,0.18,0.118,3
183965.15,1356.9,0.171,0.082,1
214192.52,76.7,0.105,0.112,2
11212.05,3359.1,0.027,0.103,2
15745.51,4864.5,0.135,0.122,3
271249.92,3053.8,0.029,0.084,0
26625.22,643.6,0.187,0.087,3
268783.74,1637.6,0.193,0.107,0
72308.94,4344.8,0.054,0.043,2
223305.25,1201.2,0.142,0.082,0
